"","year","state","state_po","state_fips","pres_percent_vote","vote_spread","incumbent_party","potus_run_reelect","house_percent_vote","mean_senate_percent_vote","totalvotes","per_capita_personal_income","population","yoy_per_cap_income_change","yoy_pop_change","zscore_pcpi","exports","gdp","personal_consumption_exp","exports_YOY","gdp_YOY","personal_consumption_exp_YOY","exports_zscore","gdp_zscore","personal_consumption_exp_zscore","per_hs_degree","per_bachelor_degree","black_fem_pop","white_fem_pop","fem_pop","white_pop","black_pop","per_white","per_black","per_fem","per_white_fem","per_black_fem","poll_trend","hawaii_dummy","lag_pres_vote","lag_vote_spread","lag_participation","change_lag_pres_vote","change_house_percent_vote","change_poll_trend","pres_win"
"1",1976,"Alabama","AL",1,55.7272688844739,13.1123980217272,1,1,NA,NA,1182850,5438,3737204,NA,NA,NA,297.3,5965.3,3837.7,NA,NA,NA,NA,NA,NA,NA,7.8,510487,1420902,1938304,2768564,955632,0.740811579994028,0.255707743007874,0.518650841645251,0.380204559344365,0.136595968536906,NA,0,NA,NA,NA,NA,NA,NA,1
"2",1980,"Alabama","AL",1,47.4488590678046,-1.30126109503558,0,1,68.4381709506305,74.5274307173507,1341929,7957,3900368,1.46322177271056,1.04365937743832,NA,406,6688.8,4227.4,1.11080711354309,0.983762795623014,0.989258886574778,0.0720435711431341,-0.00765300659896808,0.000357741477735234,NA,12.2,533376,1482088,2025456,2885360,995823,0.739766093866015,0.25531513949453,0.519298691815747,0.379986708946438,0.136750173316979,41.7151649333333,0,55.7272688844739,13.1123980217272,0.316506671832739,NA,NA,NA,0
"3",1984,"Alabama","AL",1,38.2807812650645,-22.2617122825417,1,1,70.4027703926769,74.5274307173507,1441713,10848,3951824,1.36332788739475,1.01319260131352,0.324165181676129,402.5,7686.1,4873.2,1.09108159392789,1.0690134772389,1.04642473695512,0.0414433470195499,0.170374905363505,0.123693374754159,NA,12.2,538787,1502180,2054834,2922943,1002563,0.739644022608294,0.253696267849985,0.519971031098551,0.380123203867379,0.136338814684055,36.5383971333333,0,47.4488590678046,-1.30126109503558,0.344051894590459,-0.148552225551031,0.028706194434443,-0.124097982311066,0
"4",1988,"Alabama","AL",1,39.8632983091472,-19.3017506289555,1,0,66.6029470643189,50.2815008206143,1378476,13807,4023842,1.2727691740413,1.01822398973234,0.344003262906279,575.6,8891.4,5745.9,1.14775672981057,1.04192837723821,1.03647383516424,0.136437086255372,0.121462211013577,0.0986514713126748,NA,12.2,547597,1528299,2093975,2973347,1015878,0.738932343764989,0.252464684249531,0.520391953759616,0.379810887206804,0.136088096898437,35.4314974,0,38.2807812650645,-22.2617122825417,0.364822168193725,-0.193220195023844,-0.0539726392464995,-0.0302941513634031,0
"5",1992,"Alabama","AL",1,40.8800635048517,-6.7653400945464,1,1,73.9267297305695,60.5671499231324,1688060,17583,4154014,1.27348446440211,1.03235017677135,0.410468645295482,797.2,9733,6269.7,1.06364242828552,1.03666070211316,1.03610854045479,0.099051595043515,0.0836408305751975,0.0763181819169028,NA,15.7,568138,1566261,2155206,3045198,1054061,0.733073600618582,0.253745172741353,0.518824924518791,0.377047597817436,0.136768436505029,39.8364678,0,39.8632983091472,-19.3017506289555,0.342577069377973,0.0413397269278535,0.10996184086536,0.12432357431216,0
"6",1996,"Alabama","AL",1,43.1560876958241,-6.96575550933979,0,1,49.6990634240313,60.5671499231324,1534349,20630,4331102,1.17329238468976,1.04263057370534,0.385436735711769,1051,11097,7176.8,1.05152576288144,1.04049657293415,1.03342117010094,0.130716174788789,0.140674831444803,0.115175720522362,NA,15.7,596007,1613998,2232484,3139854,1107654,0.72495498836093,0.255744150103138,0.515454034562104,0.372652964534199,0.137610935969645,41.0820156666667,0,40.8800635048517,-6.7653400945464,0.40636839452154,0.025506298746765,-0.327725389650501,0.0312665237520547,0
"7",2000,"Alabama","AL",1,41.5665029478981,-14.9172524053696,0,0,49.5150302056526,36.6913689061044,1666272,24338,4452173,1.17973824527387,1.02795385562381,0.408594180927279,1408.8,13178.4,8687.5,1.09506412747765,1.04075056861259,1.0504074674147,0.223182069423098,0.19752397708255,0.210351988908463,NA,19,1244117,3263442,4603482,6392436,2320442,0.717900674569474,0.26059656711453,0.516992713445771,0.732999818290978,0.279440399103988,35.7415976666667,0,43.1560876958241,-6.96575550933979,0.354262956633208,0.0556756520376306,-0.00370295143810985,-0.129994059768911,0
"8",2004,"Alabama","AL",1,36.8444023223772,-25.6162874353236,1,1,55.7666697824282,39.8277043331858,1883415,28415,4530729,1.16751581888405,1.01764441768098,0.463227006992199,1434,14465,9771.1,1.09616266625898,1.03431509249129,1.03335554215976,0.176483466521454,0.173369560119622,0.164663291609104,NA,19,635252,1643262,2337857,3227772,1186375,0.712417802962834,0.261850797079234,0.516000184517767,0.362692626285969,0.140209666038291,34.3177146,0,41.5665029478981,-14.9172524053696,0.374260389252619,-0.0368333839510628,0.12625741215971,-0.0398382601680563,0
"9",2008,"Alabama","AL",1,38.7404342945749,-21.5764787345957,1,0,51.5525973145817,39.8277043331858,2099819,33353,4718206,1.17378145345768,1.04137899221075,0.544883361032048,1961.2,15667,10581.9,1.06465447044134,1.00001914889543,0.99430584918957,0.274803317075057,0.04201143236052,0.0200164874447234,NA,19,664051,1692660,2430257,3332141,1241613,0.70623050371264,0.263153622372571,0.515080731956171,0.358750762472007,0.140742265174518,35.3563092666667,0,36.8444023223772,-25.6162874353236,0.415698003566313,-0.113603509812694,-0.0755661488177003,0.0302640976758595,0
"10",2012,"Alabama","AL",1,38.3590330987525,-22.1867892310703,0,1,50.3323598208032,34.7101546349072,2074338,35884,4815588,1.07588522771565,1.02063962446744,0.390513410042319,2203.6,16220.7,11007.5,1.03300206262891,1.02528333133174,1.01302227130499,0.181206544592703,0.116914772309842,0.0793334315149591,83.9715345555242,23.2785484754393,680944,1712671,2479878,3371064,1275628,0.700031647225635,0.264895584921301,0.514968888534484,0.355651480151541,0.141404123442454,36.2677055333333,0,38.7404342945749,-21.5764787345957,0.445046061998989,0.051460516460765,-0.0236697578267958,0.025777471845058,0
