"","state","lower_pred","pred","upper_pred","prob_win"
"1","Alabama",33.03,37.87,42.71,1.02
"2","Alaska",38.03,42.88,47.74,10.39
"3","Arizona",44.24,49.08,53.91,84.01
"4","Arkansas",31.7,36.54,41.38,0.51
"5","California",59.11,63.96,68.81,99.99
"6","Colorado",48.77,53.59,58.42,96.61
"7","Connecticut",55.4,60.22,65.05,99.9
"8","Delaware",55.46,60.29,65.12,99.93
"9","Florida",45.16,49.96,54.77,78.81
"10","Georgia",43.49,48.31,53.13,69.95
"11","Hawaii",61.12,66.07,71.03,100
"12","Idaho",30.27,35.17,40.08,0.26
"13","Illinois",53.03,57.85,62.66,99.8
"14","Indiana",36.03,40.86,45.68,6
"15","Iowa",42.34,47.17,52,57.39
"16","Kansas",36.54,41.38,46.23,4.72
"17","Kentucky",32.89,37.74,42.59,1.01
"18","Louisiana",34.34,39.17,44.01,1.43
"19","Maine",48.41,53.27,58.13,97.58
"20","Maryland",60.23,65.09,69.95,100
"21","Massachusetts",63.22,68.08,72.94,100
"22","Michigan",46.44,51.25,56.07,88.63
"23","Minnesota",NA,NA,NA,NA
"24","Mississippi",35.38,40.22,45.07,2.61
"25","Missouri",39.28,44.11,48.95,16.58
"26","Montana",38.18,43.04,47.9,15.18
"27","Nebraska",40.15,45.08,50,51.23
"28","Nevada",46.28,51.11,55.94,91.57
"29","New Hampshire",48.89,53.73,58.58,97.17
"30","New Jersey",53.59,58.4,63.21,99.78
"31","New Mexico",49.08,53.92,58.77,97.44
"32","New York",58.96,63.82,68.68,99.99
"33","North Carolina",45.09,49.91,54.73,84.46
"34","North Dakota",NA,NA,NA,NA
"35","Ohio",42.06,46.88,51.69,59.39
"36","Oklahoma",30.05,34.94,39.83,0.29
"37","Oregon",52.86,57.7,62.53,99.8
"38","Pennsylvania",46.45,51.26,56.07,91.3
"39","Rhode Island",60.05,64.92,69.8,99.99
"40","South Carolina",38.78,43.6,48.42,16.11
"41","South Dakota",34.1,38.96,43.82,2.02
"42","Tennessee",34.88,39.72,44.57,2.01
"43","Texas",42.48,47.35,52.22,65.01
"44","Utah",32.7,37.69,42.68,2.15
"45","Vermont",59.17,64.03,68.89,99.99
"46","Virginia",49.4,54.22,59.05,97.55
"47","Washington",55.05,59.88,64.71,99.91
"48","West Virginia",28.07,32.96,37.86,0.08
"49","Wisconsin",46.2,51.02,55.85,87.95
"50","Wyoming",21.94,26.89,31.83,0.01
