"","state","lower_pred","pred","upper_pred","prob_win"
"1","Alabama",32.47,37.52,42.56,0.02
"2","Alaska",37.03,42.09,47.15,1.5
"3","Arizona",43.65,48.7,53.74,80.29
"4","Arkansas",31.19,36.24,41.3,0.01
"5","California",57.98,63.05,68.11,100
"6","Colorado",48.35,53.39,58.43,99.5
"7","Connecticut",54.95,59.99,65.03,100
"8","Delaware",54.61,59.65,64.69,100
"9","Florida",44.71,49.73,54.74,83.37
"10","Georgia",42.7,47.73,52.75,52.1
"11","Hawaii",62.21,67.55,72.89,100
"12","Idaho",29.91,35.01,40.1,0.01
"13","Illinois",52.04,57.07,62.1,99.98
"14","Indiana",35.69,40.73,45.77,0.29
"15","Iowa",42.09,47.14,52.18,50.77
"16","Kansas",36.02,41.08,46.13,0.62
"17","Kentucky",32.57,37.63,42.69,0.03
"18","Louisiana",33.37,38.4,43.42,0.03
"19","Maine",48.22,53.3,58.38,99.79
"20","Maryland",59.1,64.14,69.19,100
"21","Massachusetts",62.53,67.61,72.68,100
"22","Michigan",46.01,51.04,56.07,95.25
"23","Minnesota",NA,NA,NA,NA
"24","Mississippi",34.52,39.55,44.58,0.08
"25","Missouri",38.89,43.94,48.99,5.8
"26","Montana",37.72,42.78,47.84,2.72
"27","Nebraska",39.57,44.66,49.74,22.79
"28","Nevada",45.41,50.46,55.5,95.05
"29","New Hampshire",48.71,53.77,58.83,99.78
"30","New Jersey",52.76,57.79,62.83,99.99
"31","New Mexico",48.16,53.22,58.27,99.64
"32","New York",57.85,62.93,68.02,100
"33","North Carolina",44.5,49.53,54.56,84.15
"34","North Dakota",NA,NA,NA,NA
"35","Ohio",41.62,46.65,51.68,29.58
"36","Oklahoma",29.34,34.44,39.54,0
"37","Oregon",52.41,57.46,62.51,99.99
"38","Pennsylvania",45.98,51.01,56.04,95.13
"39","Rhode Island",59.59,64.67,69.75,100
"40","South Carolina",38.03,43.06,48.08,1.75
"41","South Dakota",33.64,38.71,43.77,0.1
"42","Tennessee",34.61,39.67,44.73,0.18
"43","Texas",41.62,46.68,51.75,46.48
"44","Utah",31.57,36.74,41.91,0.18
"45","Vermont",58.85,63.93,69,100
"46","Virginia",48.46,53.49,58.52,99.43
"47","Washington",54.23,59.27,64.32,100
"48","West Virginia",28.21,33.3,38.4,0
"49","Wisconsin",46.1,51.14,56.18,96.51
"50","Wyoming",21.3,26.43,31.56,0
