"","state","fips","lower_pred","pred","upper_pred","prob_win"
"1","Alabama",1,32.44,37.4,42.36,0.02
"2","Alaska",2,36.89,41.87,46.85,1.44
"3","Arizona",4,44.52,49.47,54.42,84.47
"4","Arkansas",5,30.68,35.64,40.6,0.01
"5","California",6,59.1,64.07,69.04,100
"6","Colorado",8,50.36,55.4,60.45,99.97
"7","Connecticut",9,55.77,60.76,65.75,100
"8","Delaware",10,54.32,59.28,64.23,100
"9","Florida",12,44.94,49.87,54.8,84.69
"10","Georgia",13,43.3,48.26,53.22,69.74
"11","Hawaii",15,63.04,68.28,73.52,100
"12","Idaho",16,30.93,35.95,40.96,0.02
"13","Illinois",17,52.81,57.76,62.7,99.98
"14","Indiana",18,35.94,40.89,45.85,0.43
"15","Iowa",19,42.05,47.01,51.97,44.6
"16","Kansas",20,37.26,42.25,47.25,2.51
"17","Kentucky",21,33.03,38.01,42.99,0.06
"18","Louisiana",22,32.67,37.63,42.59,0.03
"19","Maine",23,48.43,53.41,58.39,99.59
"20","Maryland",24,59.53,64.53,69.53,100
"21","Massachusetts",25,64.01,69.08,74.15,100
"22","Michigan",26,45.9,50.84,55.77,93.1
"23","Minnesota",27,NA,NA,NA,NA
"24","Mississippi",28,33.8,38.79,43.78,0.13
"25","Missouri",29,39.3,44.26,49.22,7.37
"26","Montana",30,38.94,43.93,48.91,8.21
"27","Nebraska",31,40.43,45.46,50.48,38.08
"28","Nevada",32,45.08,50.04,54.99,90.46
"29","New Hampshire",33,49.82,54.82,59.83,99.92
"30","New Jersey",34,54.6,59.59,64.58,100
"31","New Mexico",35,48.56,53.51,58.46,99.39
"32","New York",36,59.02,64.02,69.03,100
"33","North Carolina",37,44.92,49.86,54.81,87.5
"34","North Dakota",38,NA,NA,NA,NA
"35","Ohio",39,41.63,46.57,51.51,28.76
"36","Oklahoma",40,29.77,34.78,39.78,0.01
"37","Oregon",41,53.16,58.14,63.11,99.99
"38","Pennsylvania",42,46.32,51.26,56.19,95.05
"39","Rhode Island",44,59.98,64.98,69.98,100
"40","South Carolina",45,38.34,43.28,48.22,2.47
"41","South Dakota",46,33.82,38.81,43.79,0.12
"42","Tennessee",47,35.33,40.3,45.27,0.33
"43","Texas",48,42.84,47.82,52.79,66.83
"44","Utah",49,33.73,38.84,43.96,0.98
"45","Vermont",50,60.14,65.17,70.21,100
"46","Virginia",51,49.75,54.74,59.73,99.89
"47","Washington",53,54.9,59.87,64.84,100
"48","West Virginia",54,28,33.03,38.06,0
"49","Wisconsin",55,46.51,51.45,56.4,96.39
"50","Wyoming",56,22.67,27.72,32.77,0
